Facility Type,School Type,School District,School Name,Address,6-12 Grade Enrollment,Total Enrollment,Average Up to Date Rate,Average Exemption Rate,Average In Process Rate,Average Incomplete Record Rate,Average No Record Rate,HepB: Up to Date Rate,HepB: Medical Exemptions Rate,HepB: Religious Exemptions Rate,HepB: Personal Exemptions Rate,HepB: In Process Rate,HepB: McKinny-Vento Exemptions Rate,HepB: Incomplete Record Rate,HepB: No Record Rate,Dtap: Up to Date Rate,Dtap: Medical Exemptions Rate,Dtap: Religious Exemptions Rate,Dtap: Personal Exemptions Rate,Dtap: In Process Rate,Dtap: McKinny-Vento Exemptions Rate,Dtap: Incomplete Record Rate,Dtap: No Record Rate,Polio: Up to Date Rate,Polio: Medical Exemptions Rate,Polio: Religious Exemptions Rate,Polio: Personal Exemptions Rate,Polio: In Process Rate,Polio: McKinny-Vento Exemptions Rate,Polio: Incomplete Record Rate,Polio: No Record Rate,MMR: Up to Date Rate,MMR: Medical Exemptions Rate,MMR: Religious Exemptions Rate,MMR: Personal Exemptions Rate,MMR: In Process Rate,MMR: McKinny-Vento Exemptions Rate,MMR: Incomplete Record Rate,MMR: No Record Rate,Varicella: Up to Date Rate,Varicella: Medical Exemptions Rate,Varicella: Religious Exemptions Rate,Varicella: Personal Exemptions Rate,Varicella: In Process Rate,Varicella: McKinny-Vento Exemptions Rate,Varicella: Incomplete Record Rate,Varicella: No Record Rate,Tdap: Up to Date,Tdap: Medical Exemptions,Tdap: Religious Exemptions,Tdap: Personal Exemptions,Tdap: In Process,Tdap: McKinny-Vento Exemptions,Tdap: Incomplete Record,Tdap: No Record,Street Address,Zipcode,ADDRESS,CHARTER,CITY,DISTRICT_NAME,DISTRICT_NUMBER,DISTRICT_SETTING,HIGHEST_GRADE,LOWEST_GRADE,PHONE,SCHOOL_CODE,SCHOOL_NAME,STATE,ZIPCODE
PUBLIC,Elementary,JULESBURG RE-1,JULESBURG ELEMENTARY SCHOOL,"525 SPRUCE STREET JULESBURG, CO 80737",19.0,132.0,0.9396,0.0604,0.0,0.0,0.0,0.9394,0.0,0.0,0.0606,0.0,0.0,0.0,0.0,0.9394,0.0,0.0,0.0606,0.0,0.0,0.0,0.0,0.9394,0.0,0.0,0.0606,0.0,0.0,0.0,0.0,0.9394,0.0,0.0,0.0606,0.0,0.0,0.0,0.0,0.9394,0.0,0.0,0.0606,0.0,0.0,0.0,0.0,0.9474,0.0,0.0,0.0526,0.0,0.0,0.0,0.0,525 SPRUCE STREET JULESBURG,80737,525 SPRUCE STREET,False,JULESBURG,JULESBURG RE-1,2862,Outlying Town,6th Grade,Preschool,9704743319,4488,JULESBURG ELEMENTARY SCHOOL,CO,80737
PUBLIC,Middle/High,JULESBURG RE-1,JULESBURG HIGH SCHOOL,"102 WEST 6TH STREET JULESBURG, CO 80737",105.0,105.0,0.9619,0.0286,0.0095,0.0,0.0,0.9619,0.0,0.0,0.0286,0.0095,0.0,0.0,0.0,0.9619,0.0,0.0,0.0286,0.0095,0.0,0.0,0.0,0.9619,0.0,0.0,0.0286,0.0095,0.0,0.0,0.0,0.9619,0.0,0.0,0.0286,0.0095,0.0,0.0,0.0,0.9619,0.0,0.0,0.0286,0.0095,0.0,0.0,0.0,0.9619,0.0,0.0,0.0286,0.0095,0.0,0.0,0.0,102 WEST 6TH STREET JULESBURG,80737,102 WEST 6TH STREET,False,JULESBURG,JULESBURG RE-1,2862,Outlying Town,12th Grade,7th Grade,9704743364,4492,JULESBURG HIGH SCHOOL,CO,80737
PRIVATE,PRIVATE,DOUGLAS COUNTY RE 1,AVE MARIA CATHOLIC SCHOOL,"9056 EAST PARKER ROAD PARKER, CO 80138",146.0,412.0,0.9551,0.0091,0.0322,0.0018,0.0023,0.9442,0.0,0.0,0.0049,0.0485,0.0,0.0,0.0024,0.9515,0.0049,0.0,0.0073,0.0316,0.0,0.0024,0.0024,0.9587,0.0024,0.0,0.0073,0.0267,0.0,0.0024,0.0024,0.9757,0.0049,0.0,0.0024,0.0146,0.0,0.0024,0.0024,0.966,0.0049,0.0,0.0049,0.0194,0.0,0.0024,0.0024,0.8973,0.0068,0.0,0.0068,0.089,0.0,0.0,0.0,9056 EAST PARKER ROAD PARKER,80138,9056 EAST PARKER ROAD         ,,PARKER              ,DOUGLAS COUNTY RE 1,0900,,8th Grade,Preschool,7208425400,4015,AVE MARIA CATHOLIC SCHOOL,CO,80138
PUBLIC,Elementary,EAGLE COUNTY RE 50,JUNE CREEK ELEMENTARY SCHOOL,"1121 MILLER RANCH ROAD EDWARDS, CO 81632",0.0,290.0,0.989,0.0055,0.0055,0.0,0.0,0.9897,0.0,0.0069,0.0,0.0034,0.0,0.0,0.0,0.9931,0.0,0.0034,0.0,0.0034,0.0,0.0,0.0,0.9931,0.0,0.0034,0.0,0.0034,0.0,0.0,0.0,0.9931,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.9759,0.0,0.0069,0.0,0.0172,0.0,0.0,0.0,,,,,,,,,1121 MILLER RANCH ROAD EDWARDS,81632,1121 MILLER RANCH ROAD,False,EDWARDS,EAGLE COUNTY RE 50,0910,Outlying Town,5th Grade,Preschool,9703282980,4838,JUNE CREEK ELEMENTARY SCHOOL,CO,81632
PUBLIC,Elem/Middle,MESA COUNTY VALLEY 51,JUNIPER RIDGE COMMUNITY SCHOOL,"640 24-1/2 ROAD GRAND JUNCTION, CO 81505",86.0,300.0,0.7037,0.0076,0.0,0.0649,0.2257,0.75,0.0,0.0,0.0067,0.0,0.0,0.03,0.2133,0.7033,0.0,0.0,0.0067,0.0,0.0,0.0833,0.2067,0.7033,0.0,0.0,0.0067,0.0,0.0,0.08,0.21,0.72,0.0,0.0,0.0067,0.0,0.0,0.0667,0.2167,0.68,0.0,0.0,0.0067,0.0,0.0,0.08,0.2333,0.5698,0.0,0.0,0.0233,0.0,0.0,0.0116,0.3953,640 24-1/2 ROAD GRAND JUNCTION,81505,640 24 1/2 RD,True,GRAND JUNCTION,MESA COUNTY VALLEY 51,2000,Urban-Suburban,8th Grade,Kindergarten,9706390884,4439,JUNIPER RIDGE COMMUNITY SCHOOL,CO,81505
PUBLIC,High,BOULDER VALLEY RE 2,JUSTICE HIGH CHARTER SCHOOL,"805 EXCALIBUR LAFAYETTE, CO 80026",84.0,84.0,0.5893,0.0238,0.0,0.2123,0.1409,0.6071,0.0119,0.0,0.0119,0.0,0.0357,0.1429,0.2024,0.6786,0.0119,0.0,0.0119,0.0,0.0357,0.1429,0.119,0.4643,0.0119,0.0,0.0238,0.0,0.0357,0.3095,0.1548,0.6548,0.0119,0.0,0.0119,0.0,0.0357,0.1429,0.1429,0.5238,0.0119,0.0,0.0119,0.0,0.0357,0.2738,0.1429,0.6071,0.0119,0.0,0.0,0.0,0.0357,0.2619,0.0833,805 EXCALIBUR LAFAYETTE,80026,805 EXCALIBUR,True,LAFAYETTE,BOULDER VALLEY RE 2,0480,Denver Metro,12th Grade,6th Grade,7209351337,4496,JUSTICE HIGH CHARTER SCHOOL,CO,80026
PUBLIC,Elementary,DENVER COUNTY 1,KAISER ELEMENTARY SCHOOL,"4500 SOUTH QUITMAN STREET DENVER, CO 80236",0.0,303.0,0.9729,0.0033,0.0,0.0205,0.0033,0.9802,0.0,0.0,0.0033,0.0,0.0,0.0132,0.0033,0.9802,0.0,0.0,0.0033,0.0,0.0,0.0132,0.0033,0.9637,0.0,0.0,0.0033,0.0,0.0,0.0297,0.0033,0.9637,0.0,0.0,0.0033,0.0,0.0,0.0297,0.0033,0.9769,0.0,0.0,0.0033,0.0,0.0,0.0165,0.0033,,,,,,,,,4500 SOUTH QUITMAN STREET DENVER,80236,4500 SOUTH QUITMAN STREET,False,DENVER,DENVER COUNTY 1,0880,Denver Metro,5th Grade,Preschool,7204246210,4498,KAISER ELEMENTARY SCHOOL,CO,80236
PUBLIC,Elementary,KARVAL RE-23,KARVAL ELEMENTARY SCHOOL,"16232 COUNTY ROAD 29 KARVAL, CO 80823",0.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,16232 COUNTY ROAD 29 KARVAL,80823,16232 COUNTY ROAD 29,False,KARVAL,KARVAL RE-23,1810,Remote,6th Grade,Preschool,7194465311,4502,KARVAL ELEMENTARY SCHOOL,CO,80823
PUBLIC,Middle/High,KARVAL RE-23,KARVAL JUNIOR-SENIOR HIGH SCHOOL,"16232 COUNTY ROAD 29 KARVAL, CO 80823",16.0,16.0,0.9896,0.0,0.0104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,16232 COUNTY ROAD 29 KARVAL,80823,16232 COUNTY ROAD 29,False,KARVAL,KARVAL RE-23,1810,Remote,12th Grade,7th Grade,7194465311,4506,KARVAL JUNIOR-SENIOR HIGH SCHOOL,CO,80823
PUBLIC,Elementary,GARFIELD RE-2,KATHRYN SENOR ELEMENTARY SCHOOL,"101 ALDER AVENUE NEW CASTLE, CO 81647",0.0,245.0,0.951,0.0171,0.0318,0.0,0.0,0.9755,0.0,0.0,0.0163,0.0082,0.0,0.0,0.0,0.9469,0.0,0.0,0.0163,0.0367,0.0,0.0,0.0,0.951,0.0,0.0,0.0163,0.0327,0.0,0.0,0.0,0.9469,0.0,0.0,0.0163,0.0367,0.0,0.0,0.0,0.9347,0.0,0.0,0.0204,0.0449,0.0,0.0,0.0,,,,,,,,,101 ALDER AVENUE NEW CASTLE,81647,101 ALDER AVENUE,False,NEW CASTLE,GARFIELD RE-2,1195,Outlying Town,5th Grade,Preschool,9706657700,4510,KATHRYN SENOR ELEMENTARY SCHOOL,CO,81647
PUBLIC,Middle,ADAMS COUNTY 14,KEARNEY MIDDLE SCHOOL,"6160 KEARNEY STREET COMMERCE CITY, CO 80022",800.0,800.0,0.969,0.0025,0.0285,0.0,0.0,0.9925,0.0,0.0,0.0025,0.005,0.0,0.0,0.0,0.9975,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.995,0.0,0.0,0.0025,0.0025,0.0,0.0,0.0,0.9938,0.0,0.0,0.0025,0.0038,0.0,0.0,0.0,0.9938,0.0,0.0,0.0025,0.0038,0.0,0.0,0.0,0.8413,0.0,0.0,0.0025,0.1563,0.0,0.0,0.0,6160 KEARNEY STREET COMMERCE CITY,80022,6160 KEARNEY STREET,False,COMMERCE CITY,ADAMS COUNTY 14,0030,Denver Metro,8th Grade,6th Grade,3032870261,4516,KEARNEY MIDDLE SCHOOL,CO,80022
PUBLIC,Elementary,COLORADO SPRINGS 11,KELLER ELEMENTARY SCHOOL,"3730 EAST MONTEBELLO DRIVE COLORADO SPRINGS, CO 80918",0.0,441.0,0.9565,0.0213,0.0,0.0222,0.0,0.9615,0.0,0.0023,0.0249,0.0,0.0,0.0113,0.0,0.966,0.0,0.0023,0.0136,0.0,0.0,0.0181,0.0,0.9705,0.0,0.0023,0.0136,0.0,0.0,0.0136,0.0,0.9501,0.0,0.0023,0.0204,0.0,0.0,0.0272,0.0,0.9342,0.0,0.0023,0.0227,0.0,0.0,0.0408,0.0,,,,,,,,,3730 EAST MONTEBELLO DRIVE COLORADO SPRINGS,80918,3730 EAST MONTEBELLO DRIVE,False,COLORADO SPRINGS,COLORADO SPRINGS 11,1010,Urban-Suburban,5th Grade,Preschool,7193285900,4530,KELLER ELEMENTARY SCHOOL,CO,80918
PUBLIC,Elementary,ADAMS COUNTY 14,KEMP ELEMENTARY SCHOOL,"6775 ONEIDA STREET COMMERCE CITY, CO 80022",0.0,490.0,0.9918,0.0082,0.0,0.0,0.0,0.9918,0.0,0.0,0.0082,0.0,0.0,0.0,0.0,0.9918,0.0,0.0,0.0082,0.0,0.0,0.0,0.0,0.9918,0.0,0.0,0.0082,0.0,0.0,0.0,0.0,0.9918,0.0,0.0,0.0082,0.0,0.0,0.0,0.0,0.9918,0.0,0.0,0.0082,0.0,0.0,0.0,0.0,,,,,,,,,6775 ONEIDA STREET COMMERCE CITY,80022,6775 ONEIDA STREET,False,COMMERCE CITY,ADAMS COUNTY 14,0030,Denver Metro,5th Grade,Preschool,3032886633,4536,KEMP ELEMENTARY SCHOOL,CO,80022
PUBLIC,Elementary,MONTEZUMA-CORTEZ RE-1,KEMPER ELEMENTARY SCHOOL,"620 EAST MONTEZUMA CORTEZ, CO 81321",0.0,386.0,0.9347,0.0596,0.001,0.0047,0.0,0.9482,0.0,0.013,0.0363,0.0,0.0,0.0026,0.0,0.9352,0.0,0.013,0.0492,0.0,0.0,0.0026,0.0,0.9301,0.0,0.013,0.0544,0.0,0.0,0.0026,0.0,0.9301,0.0,0.013,0.0466,0.0026,0.0,0.0078,0.0,0.9301,0.0,0.013,0.0466,0.0026,0.0,0.0078,0.0,,,,,,,,,620 EAST MONTEZUMA CORTEZ,81321,620 EAST MONTEZUMA,False,CORTEZ,MONTEZUMA-CORTEZ RE-1,2035,Outlying City,5th Grade,Kindergarten,9705653737,4546,KEMPER ELEMENTARY SCHOOL,CO,81321
PUBLIC,Middle,JEFFERSON COUNTY R-1,KEN CARYL MIDDLE SCHOOL,"6509 WEST KEN CARYL AVENUE LITTLETON, CO 80123",695.0,695.0,0.9683,0.0026,0.0031,0.0259,0.0,0.9712,0.0014,0.0,0.0014,0.0086,0.0,0.0173,0.0,0.9971,0.0,0.0,0.0014,0.0014,0.0,0.0,0.0,0.9727,0.0,0.0,0.0029,0.0029,0.0,0.0216,0.0,0.9669,0.0014,0.0,0.0014,0.0043,0.0,0.0259,0.0,0.9655,0.0014,0.0,0.0014,0.0014,0.0,0.0302,0.0,0.9367,0.0014,0.0,0.0014,0.0,0.0,0.0604,0.0,6509 WEST KEN CARYL AVENUE LITTLETON,80123,6509 WEST KEN CARYL AVENUE,False,LITTLETON,JEFFERSON COUNTY R-1,1420,Denver Metro,8th Grade,6th Grade,3039824710,4548,KEN CARYL MIDDLE SCHOOL,CO,80123
PUBLIC,Elementary,JEFFERSON COUNTY R-1,KENDALLVUE ELEMENTARY SCHOOL,"13658 WEST MARLOWE AVENUE MORRISON, CO 80465",53.0,440.0,0.9512,0.0098,0.0,0.0311,0.0089,0.9432,0.0,0.0045,0.0045,0.0,0.0,0.0432,0.0091,0.9727,0.0,0.0045,0.0045,0.0,0.0,0.0136,0.0045,0.9659,0.0,0.0045,0.0045,0.0,0.0,0.0205,0.0045,0.9659,0.0,0.0045,0.0045,0.0,0.0,0.0205,0.0045,0.9636,0.0023,0.0045,0.0045,0.0,0.0,0.0205,0.0045,0.4906,0.0,0.0189,0.0,0.0,0.0,0.3396,0.1509,13658 WEST MARLOWE AVENUE MORRISON,80465,13658 WEST MARLOWE AVENUE,False,MORRISON,JEFFERSON COUNTY R-1,1420,Denver Metro,5th Grade,Preschool,3039827990,4549,KENDALLVUE ELEMENTARY SCHOOL,CO,80465
PUBLIC,Elementary,JEFFERSON COUNTY R-1,KENDRICK LAKES ELEMENTARY SCHOOL,"1350 SOUTH HOYT STREET LAKEWOOD, CO 80232",53.0,440.0,0.9547,0.0098,0.0,0.0311,0.0053,0.9432,0.0,0.0045,0.0045,0.0,0.0,0.0432,0.0091,0.9727,0.0,0.0045,0.0045,0.0,0.0,0.0136,0.0045,0.9659,0.0,0.0045,0.0045,0.0,0.0,0.0205,0.0045,0.9659,0.0,0.0045,0.0045,0.0,0.0,0.0205,0.0045,0.9636,0.0023,0.0045,0.0045,0.0,0.0,0.0205,0.0045,0.6415,0.0,0.0189,0.0,0.0,0.0,0.3396,0.0,1350 SOUTH HOYT STREET LAKEWOOD,80232,1350 SOUTH HOYT STREET,False,LAKEWOOD,JEFFERSON COUNTY R-1,1420,Denver Metro,5th Grade,Preschool,3039828324,4550,KENDRICK LAKES ELEMENTARY SCHOOL,CO,80232
PUBLIC,Elementary,YUMA 1,KENNETH P MORRIS ELEMENTARY SCHOOL,"416 SOUTH ELM STREET YUMA, CO 80759",0.0,293.0,0.9843,0.0,0.0055,0.0,0.0034,0.9898,0.0,0.0,0.0,0.0,0.0068,0.0,0.0034,0.9863,0.0,0.0,0.0,0.0034,0.0068,0.0,0.0034,0.9863,0.0,0.0,0.0,0.0034,0.0068,0.0,0.0034,0.9829,0.0,0.0,0.0,0.0068,0.0068,0.0,0.0034,0.9761,0.0,0.0,0.0,0.0137,0.0068,0.0,0.0034,,,,,,,,,416 SOUTH ELM STREET YUMA,80759,416 SOUTH ELM STREET,False,YUMA,YUMA 1,3200,Outlying Town,4th Grade,Kindergarten,9708485738,9795,KENNETH P MORRIS ELEMENTARY SCHOOL,CO,80759
PUBLIC,Elementary,ADAMS-ARAPAHOE 28J,KENTON ELEMENTARY SCHOOL,"1255 Kenton Street, Aurora CO 80010",0.0,591.0,0.9482,0.0037,0.003,0.045,0.0,0.9662,0.0,0.0017,0.0017,0.0017,0.0,0.0288,0.0,0.9459,0.0,0.0017,0.0017,0.0034,0.0,0.0474,0.0,0.9391,0.0,0.0017,0.0034,0.0102,0.0,0.0457,0.0,0.9577,0.0,0.0017,0.0017,0.0,0.0,0.0389,0.0,0.9323,0.0,0.0017,0.0017,0.0,0.0,0.0643,0.0,,,,,,,,,,80010,1255 KENTON ST,False,AURORA,ADAMS-ARAPAHOE 28J,0180,Denver Metro,5th Grade,Preschool,3033640947,4646,KENTON ELEMENTARY SCHOOL,CO,80010
PUBLIC,Middle,DENVER COUNTY 1,KEPNER BEACON MIDDLE SCHOOL,"911 S HAZEL CT DENVER,CO  80219",145.0,145.0,0.9207,0.0023,0.0046,0.0724,0.0,0.9655,0.0,0.0,0.0,0.0069,0.0,0.0276,0.0,0.9862,0.0,0.0,0.0,0.0069,0.0,0.0069,0.0,0.9793,0.0,0.0,0.0,0.0069,0.0,0.0138,0.0,0.9724,0.0,0.0,0.0,0.0069,0.0,0.0207,0.0,0.9586,0.0138,0.0,0.0,0.0,0.0,0.0276,0.0,0.6621,0.0,0.0,0.0,0.0,0.0,0.3379,0.0,911 S HAZEL CT DENVER,,911 SOUTH HAZEL COURT,False,DENVER,DENVER COUNTY 1,0880,Denver Metro,8th Grade,6th Grade,7204240027,4513,KEPNER BEACON MIDDLE SCHOOL,CO,80219
PUBLIC,Middle,POUDRE R-1,KINARD CORE KNOWLEDGE MIDDLE SCHOOL,"3002 EAST TRILBY ROAD FORT COLLINS, CO 80528",807.0,807.0,0.9624,0.0376,0.0,0.0,0.0,0.9579,0.0,0.0,0.0421,0.0,0.0,0.0,0.0,0.9703,0.0,0.0,0.0297,0.0,0.0,0.0,0.0,0.9678,0.0,0.0,0.0322,0.0,0.0,0.0,0.0,0.9653,0.0,0.0,0.0347,0.0,0.0,0.0,0.0,0.9579,0.0,0.0,0.0421,0.0,0.0,0.0,0.0,0.9554,0.0,0.0,0.0446,0.0,0.0,0.0,0.0,3002 EAST TRILBY ROAD FORT COLLINS,80528,3002 EAST TRILBY ROAD,False,FORT COLLINS,POUDRE R-1,1550,Urban-Suburban,8th Grade,6th Grade,9704885405,4698,KINARD CORE KNOWLEDGE MIDDLE SCHOOL,CO,80528
PUBLIC,Elementary,COLORADO SPRINGS 11,KING ELEMENTARY SCHOOL,"6110 SAPPORO DRIVE COLORADO SPRINGS, CO 80918",0.0,355.0,0.8789,0.0135,0.058,0.0439,0.0028,0.8789,0.0,0.0056,0.0056,0.0085,0.0028,0.0958,0.0028,0.8789,0.0,0.0056,0.0085,0.0732,0.0028,0.0282,0.0028,0.8789,0.0,0.0028,0.0113,0.0732,0.0028,0.0282,0.0028,0.8789,0.0,0.0028,0.0113,0.062,0.0028,0.0394,0.0028,0.8789,0.0,0.0028,0.0113,0.0732,0.0028,0.0282,0.0028,,,,,,,,,6110 SAPPORO DRIVE COLORADO SPRINGS,80918,6110 SAPPORO DRIVE,False,COLORADO SPRINGS,COLORADO SPRINGS 11,1010,Urban-Suburban,5th Grade,Preschool,7193286000,5604,KING ELEMENTARY SCHOOL,CO,80918
PRIVATE,PRIVATE,SCHOOL DISTRICT 27J,ZION LUTHERAN SCHOOL,"1400 SKEEL STREET BRIGHTON, CO 80601",54.0,231.0,0.9752,0.0232,0.0017,0.0,0.0,0.9784,0.0,0.0,0.0216,0.0,0.0,0.0,0.0,0.9827,0.0,0.0,0.0173,0.0,0.0,0.0,0.0,0.9827,0.0,0.0,0.0173,0.0,0.0,0.0,0.0,0.9697,0.0,0.0,0.0216,0.0087,0.0,0.0,0.0,0.974,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.9259,0.0,0.0,0.0741,0.0,0.0,0.0,0.0,1400 SKEEL STREET BRIGHTON,80601,1400 SKEEL STREET             ,,BRIGHTON            ,SCHOOL DISTRICT 27J,0040,,8th Grade,Preschool,3036593443,4036,ZION LUTHERAN SCHOOL,CO,80601
PUBLIC,Elementary,CLEAR CREEK RE-1,KING-MURPHY ELEMENTARY SCHOOL,"425 CIRCLE K ROAD EVERGREEN, CO 80439",10.0,125.0,0.9433,0.0409,0.0142,0.0016,0.0,0.952,0.0,0.0,0.032,0.008,0.0,0.008,0.0,0.952,0.0,0.0,0.032,0.016,0.0,0.0,0.0,0.952,0.0,0.0,0.04,0.008,0.0,0.0,0.0,0.936,0.0,0.0,0.04,0.024,0.0,0.0,0.0,0.936,0.0,0.0,0.048,0.016,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,425 CIRCLE K ROAD EVERGREEN,80439,425 CIRCLE K ROAD,False,EVERGREEN,CLEAR CREEK RE-1,0540,Outlying Town,6th Grade,Preschool,3036700005,4700,KING-MURPHY ELEMENTARY SCHOOL,CO,80439
PUBLIC,Elementary,KIOWA C-2,KIOWA ELEMENTARY SCHOOL,"525 COMMANCHE ST KIOWA, CO 80117",0.0,100.0,0.908,0.03,0.006,0.016,0.02,0.91,0.0,0.0,0.03,0.01,0.02,0.01,0.02,0.91,0.0,0.0,0.03,0.01,0.02,0.01,0.02,0.9,0.0,0.0,0.03,0.01,0.02,0.02,0.02,0.91,0.0,0.0,0.03,0.0,0.02,0.02,0.02,0.91,0.0,0.0,0.03,0.0,0.02,0.02,0.02,,,,,,,,,525 COMMANCHE ST KIOWA,80117,525 COMMANCHE ST,False,KIOWA,KIOWA C-2,0930,Remote,5th Grade,Preschool,3036212042,4724,KIOWA ELEMENTARY SCHOOL,CO,80117
PUBLIC,High,KIOWA C-2,KIOWA HIGH SCHOOL,"525 COMMANCHE ST KIOWA, CO 80117",90.0,90.0,0.9815,0.0,0.0,0.0074,0.0111,0.9889,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,0.9889,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,0.9889,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,0.9889,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,0.9444,0.0,0.0,0.0,0.0,0.0,0.0444,0.0111,0.9889,0.0,0.0,0.0,0.0,0.0,0.0,0.0111,525 COMMANCHE ST KIOWA,80117,525 COMMANCHE ST,False,KIOWA,KIOWA C-2,0930,Remote,12th Grade,9th Grade,3036212115,4728,KIOWA HIGH SCHOOL,CO,80117
PUBLIC,Middle,KIOWA C-2,KIOWA MIDDLE SCHOOL,"525 COMMANCHE ST KIOWA, CO 80117",68.0,68.0,0.9485,0.0147,0.0123,0.0245,0.0,0.9853,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.9853,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.9853,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.9559,0.0,0.0,0.0147,0.0,0.0,0.0294,0.0,0.9559,0.0,0.0,0.0147,0.0,0.0,0.0294,0.0,0.8235,0.0,0.0,0.0147,0.0735,0.0,0.0882,0.0,525 COMMANCHE ST KIOWA,80117,525 COMMANCHE ST,False,KIOWA,KIOWA C-2,0930,Remote,8th Grade,6th Grade,3036212785,4726,KIOWA MIDDLE SCHOOL,CO,80117
PUBLIC,High,DENVER COUNTY 1,KIPP DENVER COLLEGIATE HIGH SCHOOL,"451 SOUTH TEJON STREET DENVER, CO 80223",426.0,426.0,0.9707,0.0,0.0,0.0211,0.0051,0.9789,0.0,0.0,0.0,0.0,0.0,0.007,0.007,0.9883,0.0,0.0,0.0,0.0,0.0,0.0047,0.0047,0.9812,0.0,0.0,0.0,0.0,0.0,0.0141,0.0047,0.9742,0.0,0.0,0.0,0.0,0.0,0.0211,0.0047,0.9413,0.0,0.0,0.0,0.0,0.0,0.054,0.0047,0.9601,0.0,0.0,0.0,0.0,0.0,0.0258,0.0047,451 SOUTH TEJON STREET DENVER,80223,451 SOUTH TEJON STREET,True,DENVER,DENVER COUNTY 1,0880,Denver Metro,12th Grade,9th Grade,3039225324,4730,KIPP DENVER COLLEGIATE HIGH SCHOOL,CO,80223
PUBLIC,High,DENVER COUNTY 1,KIPP NORTHEAST DENVER LEADERSHIP ACADEMY,"18250 E 51ST AVE DENVER,CO  80249",281.0,281.0,0.8962,0.0042,0.0,0.1032,0.0,0.911,0.0,0.0,0.0036,0.0,0.0,0.089,0.0,0.9039,0.0,0.0,0.0036,0.0,0.0,0.0961,0.0,0.9039,0.0,0.0,0.0036,0.0,0.0,0.0961,0.0,0.8968,0.0,0.0,0.0071,0.0,0.0,0.0996,0.0,0.8648,0.0,0.0,0.0036,0.0,0.0,0.1352,0.0,0.8968,0.0,0.0,0.0036,0.0,0.0,0.1032,0.0,18250 E 51ST AVE DENVER,,11200 EAST 45TH AVENUE,True,DENVER,DENVER COUNTY 1,0880,Denver Metro,12th Grade,9th Grade,7204522570,4509,KIPP NORTHEAST DENVER LEADERSHIP ACADEMY,CO,80239
PUBLIC,Middle,DENVER COUNTY 1,KIPP SUNSHINE PEAK ACADEMY,"375 S TEJON STREET DENVER, CO 80223",304.0,399.0,0.943,0.0022,0.0,0.0496,0.0052,0.9724,0.0025,0.0,0.0,0.0,0.0,0.0201,0.005,0.99,0.0,0.0,0.0,0.0,0.0,0.0025,0.005,0.99,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.985,0.0,0.0,0.0,0.0,0.0,0.0075,0.005,0.9875,0.01,0.0,0.0,0.0,0.0,0.0025,0.005,0.6678,0.0,0.0,0.0,0.0,0.0,0.3257,0.0066,375 S TEJON STREET DENVER,80223,375 S TEJON STREET,True,DENVER,DENVER COUNTY 1,0880,Denver Metro,8th Grade,5th Grade,3036235772,4732,KIPP SUNSHINE PEAK ACADEMY,CO,80223
PUBLIC,Elementary,DENVER COUNTY 1,KNAPP ELEMENTARY SCHOOL,"500 SOUTH UTICA STREET DENVER, CO 80219",0.0,542.0,0.9613,0.0018,0.0004,0.0236,0.0129,0.9668,0.0,0.0,0.0018,0.0,0.0,0.0185,0.0129,0.9576,0.0,0.0,0.0018,0.0018,0.0,0.0258,0.0129,0.9594,0.0,0.0,0.0018,0.0,0.0,0.0258,0.0129,0.9668,0.0,0.0,0.0018,0.0,0.0,0.0185,0.0129,0.9557,0.0,0.0,0.0018,0.0,0.0,0.0295,0.0129,,,,,,,,,500 SOUTH UTICA STREET DENVER,80219,500 SOUTH UTICA STREET,False,DENVER,DENVER COUNTY 1,0880,Denver Metro,5th Grade,Preschool,7204246130,4762,KNAPP ELEMENTARY SCHOOL,CO,80219
